ACTO;CONVOCATORIA;SERIE;ZONA;ESCRUTINIO;HOJA;CNT_VOTOS
30/6/2024;Partido_Nacional;BUB;La Teja;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BVA;Belvedere;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BVB;Belvedere;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BVC;Nuevo París;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BXA;Playa la Colorada ( Pajas Blancas al nor;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BXB;Santiago Vázquez- Los Boulevares - Paso;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BXC;Paso de la Arena;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BZA;Sayago;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BZB;Peñarol, Lavalleja;Primario;32.0;1.0
30/6/2024;Partido_Nacional;BZC;Peñarol, Lavalleja;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AAA;Ciudad Vieja;Primario;34.0;0.0
30/6/2024;Partido_Nacional;AAB;Ciudad Vieja;Primario;34.0;0.0
30/6/2024;Partido_Nacional;ABA;Ciudad Vieja (norte);Primario;34.0;0.0
30/6/2024;Partido_Nacional;ACA;Rambla (zona Sur);Primario;34.0;0.0
30/6/2024;Partido_Nacional;ACB;Ciudad Vieja;Primario;34.0;0.0
30/6/2024;Partido_Nacional;ADA;Rambla (zona sur);Primario;34.0;0.0
30/6/2024;Partido_Nacional;AEA;Plaza Independencia (norte, ady.);Primario;34.0;0.0
30/6/2024;Partido_Nacional;AEB;Plaza Independencia (norte, rambla portu;Primario;34.0;0.0
30/6/2024;Partido_Nacional;AFA;Centro;Primario;34.0;0.0
