PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Cabildo Abierto,Rivera,42,HAB,Departamental,1801,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,42,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,43,HAB,Departamental,88,6,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,43,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,43,HAB,Departamental,1801,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,43,HAB,Departamental,2424,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,44,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,44,HAB,Departamental,1801,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,44,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,45,HAB,Departamental,1801,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,45,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,46,HAB,Departamental,88,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,46,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,46,HAB,Departamental,1801,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,47,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,47,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,47,HAB,Departamental,1801,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,47,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,48,HAB,Departamental,88,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,48,HAB,Departamental,2424,5,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,49,HAB,Departamental,88,7,Rivera Chico - Saavedra - Cerro del Marco
