PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Cabildo Abierto,Paysandú,41,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,42,KBA,Departamental,710,1,Paysandú Centro
Cabildo Abierto,Paysandú,42,KBA,Departamental,1510,1,Paysandú Centro
Cabildo Abierto,Paysandú,43,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,43,KBA,Departamental,1825,2,Paysandú Centro
Cabildo Abierto,Paysandú,44,KBA,Departamental,1510,1,Paysandú Centro
Cabildo Abierto,Paysandú,45,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,45,KBA,Departamental,1825,4,Paysandú Centro
Cabildo Abierto,Paysandú,46,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,46,KBA,Departamental,1510,1,Paysandú Centro
Cabildo Abierto,Paysandú,46,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,47,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,47,KBA,Departamental,710,1,Paysandú Centro
Cabildo Abierto,Paysandú,47,KBA,Departamental,1510,1,Paysandú Centro
Cabildo Abierto,Paysandú,47,KBA,Departamental,1825,6,Paysandú Centro
Cabildo Abierto,Paysandú,48,KBA,Departamental,710,3,Paysandú Centro
Cabildo Abierto,Paysandú,48,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,49,KBA,Departamental,710,1,Paysandú Centro
Cabildo Abierto,Paysandú,49,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,50,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,50,KBA,Departamental,710,2,Paysandú Centro
Cabildo Abierto,Paysandú,50,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,51,KBA,Departamental,710,1,Paysandú Centro
Cabildo Abierto,Paysandú,52,KBA,Departamental,710,1,Paysandú Centro
Cabildo Abierto,Paysandú,52,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,53,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,54,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,54,KBA,Departamental,1510,1,Paysandú Centro
Cabildo Abierto,Paysandú,54,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,56,KBA,Departamental,710,2,Paysandú Centro
Cabildo Abierto,Paysandú,56,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,57,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,59,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,59,KBA,Departamental,1510,2,Paysandú Centro
Cabildo Abierto,Paysandú,59,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,60,KBA,Departamental,710,1,Paysandú Centro
Cabildo Abierto,Paysandú,60,KBA,Departamental,1510,1,Paysandú Centro
Cabildo Abierto,Paysandú,60,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,61,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,62,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,63,KBA,Departamental,1825,2,Paysandú Centro
Cabildo Abierto,Paysandú,64,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,64,KBA,Departamental,710,2,Paysandú Centro
Cabildo Abierto,Paysandú,64,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,65,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,65,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,66,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,66,KBA,Departamental,1825,1,Paysandú Centro
Cabildo Abierto,Paysandú,68,KBA,Departamental,710,1,Paysandú Centro
Cabildo Abierto,Paysandú,69,KBA,Departamental,1825,3,Paysandú Centro
Cabildo Abierto,Paysandú,70,KBB,Departamental,271,1,Barrio Obrero
Cabildo Abierto,Paysandú,71,KBB,Departamental,710,1,Barrio Obrero
Cabildo Abierto,Paysandú,72,KBC,Departamental,1825,1,Zona Norte Este
Cabildo Abierto,Paysandú,73,KCA,Departamental,1510,1,Zona Industrial
Cabildo Abierto,Paysandú,73,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,74,KCA,Departamental,271,1,Zona Industrial
Cabildo Abierto,Paysandú,74,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,75,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,76,KCA,Departamental,271,1,Zona Industrial
Cabildo Abierto,Paysandú,76,KCA,Departamental,1825,4,Zona Industrial
Cabildo Abierto,Paysandú,77,KCA,Departamental,271,1,Zona Industrial
Cabildo Abierto,Paysandú,77,KCA,Departamental,710,1,Zona Industrial
Cabildo Abierto,Paysandú,77,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,78,KCA,Departamental,710,2,Zona Industrial
Cabildo Abierto,Paysandú,78,KCA,Departamental,1510,1,Zona Industrial
Cabildo Abierto,Paysandú,79,KCA,Departamental,1510,1,Zona Industrial
Cabildo Abierto,Paysandú,79,KCA,Departamental,1825,1,Zona Industrial
Cabildo Abierto,Paysandú,80,KCA,Departamental,710,3,Zona Industrial
Cabildo Abierto,Paysandú,80,KCA,Departamental,1510,2,Zona Industrial
Cabildo Abierto,Paysandú,80,KCA,Departamental,1825,3,Zona Industrial
Cabildo Abierto,Paysandú,81,KCA,Departamental,1510,1,Zona Industrial
Cabildo Abierto,Paysandú,81,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,82,KCA,Departamental,1510,1,Zona Industrial
Cabildo Abierto,Paysandú,84,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,85,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,86,KCA,Departamental,710,2,Zona Industrial
Cabildo Abierto,Paysandú,86,KCA,Departamental,1510,1,Zona Industrial
Cabildo Abierto,Paysandú,86,KCA,Departamental,1825,1,Zona Industrial
Cabildo Abierto,Paysandú,88,KCA,Departamental,1510,1,Zona Industrial
Cabildo Abierto,Paysandú,89,KCA,Departamental,710,1,Zona Industrial
